ticker,sector,klass,in_ntm
ARIHANTSUP.NS,Realty,genuine-company,False
ARIS.NS,Cement and Construction,genuine-company,False
ARISTO.NS,Chemicals & Petrochemicals,genuine-company,False
ARKADE.NS,Realty,genuine-company,False
ARMOUR.NS,Commercial Services & Supplies,genuine-company,False
AROGRANITE.NS,Cement and Construction,genuine-company,False
ARROWGREEN.NS,General Industrials,genuine-company,False
ARSHIYA.NS,Transportation,genuine-company,False
ARTEMISMED.NS,Healthcare,genuine-company,False
ARTNIRMAN.NS,Realty,genuine-company,False
ARUNAYA.NS,Chemicals & Petrochemicals,genuine-company,False
ARVEE.NS,Chemicals & Petrochemicals,genuine-company,False
ARVINDPORT.NS,Transportation,genuine-company,False
ARVSMART.NS,Realty,genuine-company,False
ASAHISONG.NS,Chemicals & Petrochemicals,genuine-company,False
ASAL.NS,Automobiles & Auto Components,genuine-company,False
ASALCBR.NS,"Food, Beverages & Tobacco",genuine-company,False
ASHALOG.NS,Transportation,genuine-company,False
ASHIANA.NS,Realty,genuine-company,False
ASHIMASYN.NS,Textiles Apparels & Accessories,genuine-company,False
ASHOKAMET.NS,Commercial Services & Supplies,genuine-company,False
ASHWINI.NS,Transportation,genuine-company,False
ASIANENE.NS,Oil & Gas,genuine-company,False
ASIANHOTNR.NS,Hotels Restaurants & Tourism,genuine-company,False
ASIANTILES.NS,Consumer Durables,genuine-company,False
ASMS.NS,Commercial Services & Supplies,genuine-company,False
ASPINWALL.NS,"Food, Beverages & Tobacco",genuine-company,False
ASPIRE.NS,Consumer Durables,genuine-company,False
ASTEC.NS,Chemicals & Petrochemicals,genuine-company,False
ASTRAZEN.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ASTRON.NS,Commercial Services & Supplies,genuine-company,False
ATALREAL.NS,Realty,genuine-company,False
ATAM.NS,General Industrials,genuine-company,False
ATCENERGY.NS,Consumer Durables,genuine-company,False
ATL.NS,Transportation,genuine-company,False
ATLANTAA.NS,Cement and Construction,genuine-company,False
ATLASCYCLE.NS,Automobiles & Auto Components,genuine-company,False
ATMASTCO.NS,Cement and Construction,genuine-company,False
ATULAUTO.NS,Automobiles & Auto Components,genuine-company,False
AURIGROW.NS,Consumer Durables,genuine-company,False
AUROIMPEX.NS,General Industrials,genuine-company,False
AURUM.NS,Software & Services,genuine-company,False
AUSL.NS,Metals & Mining,genuine-company,False
AUSOMENT.NS,Commercial Services & Supplies,genuine-company,False
AUTOAXLES.NS,Automobiles & Auto Components,genuine-company,False
AUTOIND.NS,Automobiles & Auto Components,genuine-company,False
AVADHSUGAR.NS,"Food, Beverages & Tobacco",genuine-company,False
AVANA.NS,General Industrials,genuine-company,False
AVANTEL.NS,Telecommunications Equipment,genuine-company,False
AVATAR.NS,General Industrials,genuine-company,False
AVG.NS,Transportation,genuine-company,False
AVIANSH.NS,Textiles Apparels & Accessories,genuine-company,False
AVPINFRA.NS,Cement and Construction,genuine-company,False
AVROIND.NS,General Industrials,genuine-company,False
AVTNPL.NS,"Food, Beverages & Tobacco",genuine-company,False
AWHCL.NS,Utilities,genuine-company,False
AXITA.NS,Textiles Apparels & Accessories,genuine-company,False
AYMSYNTEX.NS,Textiles Apparels & Accessories,genuine-company,False
BABAFP.NS,"Food, Beverages & Tobacco",genuine-company,False
BAFNAPH.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BAGDIGITAL.NS,Media,genuine-company,False
BAGFILMS.NS,Media,genuine-company,False
BAGMANE.NS,Realty,genuine-company,False
BAHETI.NS,Metals & Mining,genuine-company,False
BAJAJCON.NS,FMCG,genuine-company,False
BAJAJFINSV.NS,Diversified,genuine-company,True
BAJAJHCARE.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BAJAJHIND.NS,"Food, Beverages & Tobacco",genuine-company,False
BAJAJHLDNG.NS,Diversified,genuine-company,True
BAJEL.NS,General Industrials,genuine-company,False
BALAJIPHOS.NS,Fertilizers,genuine-company,False
BALAJITELE.NS,Media,genuine-company,False
BALAXI.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BALKRISHNA.NS,Commercial Services & Supplies,genuine-company,False
BALMLAWRIE.NS,Diversified,genuine-company,False
BALPHARMA.NS,Pharmaceuticals & Biotechnology,genuine-company,False
BANARBEADS.NS,Textiles Apparels & Accessories,genuine-company,False
BANARISUG.NS,"Food, Beverages & Tobacco",genuine-company,False
BANG.NS,Textiles Apparels & Accessories,genuine-company,False
BANKA.NS,Utilities,genuine-company,False
