symbol,name,sector
DISHTV,,Media
DIVGIITTS,,Automobiles & Auto Components
DIVINEHIRA,,Textiles Apparels & Accessories
DIVYADHAN,,Textiles Apparels & Accessories
DJML,,Transportation
DKEGL,,Commercial Services & Supplies
DLINKINDIA,,Hardware Technology & Equipment
DMCC,,Chemicals & Petrochemicals
DNAMEDIA,,Media
DODLA,,FMCG
DOLLAR,,Textiles Apparels & Accessories
DOLLEX,,"Food, Beverages & Tobacco"
DOLPHIN,,Oil & Gas
DONEAR,,Textiles Apparels & Accessories
DPABHUSHAN,,Textiles Apparels & Accessories
DPEL,,Consumer Durables
DPWIRES,,Metals & Mining
DRCSYSTEMS,,Software & Services
DREAMFOLKS,,Diversified Consumer Services
DREDGECORP,,Transportation
DRONE,,Diversified Consumer Services
DRSDILIP,,Transportation
DSFCL,,Chemicals & Petrochemicals
DSSL,,Software & Services
DTIL,,"Food, Beverages & Tobacco"
DTL,,Software & Services
DUCOL,,Chemicals & Petrochemicals
DUCON,,General Industrials
DUGLOBAL,,Diversified Consumer Services
DURLAX,,Diversified Consumer Services
DWARKESH,,"Food, Beverages & Tobacco"
DYCL,,Consumer Durables
DYNAMIC,,Commercial Services & Supplies
DYNPRO,,Chemicals & Petrochemicals
E2E,,Software & Services
E2ERAIL,,General Industrials
EASEMYTRIP,,Diversified Consumer Services
EASTSILK,,Textiles Apparels & Accessories
EBGNG,,Hardware Technology & Equipment
ECOLINE,,Textiles Apparels & Accessories
ECOSMOBLTY,,Transportation
EDUCOMP,,Diversified Consumer Services
EEPL,,Consumer Durables
EFACTOR,,Commercial Services & Supplies
EFCIL,,Realty
EFFWA,,Cement and Construction
EFORCE,,Commercial Services & Supplies
EIFFL,,FMCG
EIHAHOTELS,,Hotels Restaurants & Tourism
EIMCOELECO,,General Industrials
EKC,,General Industrials
ELDEHSG,,Realty
ELECTHERM,,Metals & Mining
ELGIRUBCO,,Automobiles & Auto Components
ELGNZ,,Diversified Consumer Services
ELIN,,Consumer Durables
EMAMIPAP,,Commercial Services & Supplies
EMAMIREAL,,Realty
EMAPARTNER,,Commercial Services & Supplies
EMBASSY,,Realty
